From	To
Q8NFW9	25924
Q9UPN3	23499
P32455	2633
Q9H000	23609
Q9NWM8	55033
P04049	5894
O75610	10637
A0A0C4DFP5	6095
Q07507	1805
B0YJ81	9200
Q9UHD4	27141
O95379	25816
P42765	10449
O43739	9265
Q96EY1	9093
Q12999	6302
Q6NTE8	51149
Q9UK32	27330
Q8TBN0	5866
Q8WXK1	142685
P04001	101060233
P04001	2652
P04001	728458
P36382	2702
Q99614	7265
G3V438	10598
O15118	4864
O75364	5309
Q9BXB5	114884
P13727	5553
Q01094	1869
Q3LXA3	26007
Q9Y263	9373
P09681	2695
P59095	147323
Q93074	9968
B4DZ60	262
Q8N7Q3	163223
P49643	5558
Q6NUT2	283417
Q6NZY7	148170
Q4G0W2	285193
P49715	1050
P04035	3156
Q9HA47	83549
E9PAX0	113540
Q6ZYL4	404672
Q9Y6H5	9627
P11182	1629
Q9Y261	3170
A0A087X1S7	962
Q96LA8	55170
Q53S58	80775
P51452	1845
O43143	1665
B5MC21	3569
Q4LEZ3	441376
Q96SW2	51185
P25685	3337
Q8N9B5	133746
P23510	7292
O60443	1687
Q13886	687
Q63HQ2	133584
O75157	9819
Q12965	4643
A0A0C4DG89	9879
O75949	27112
O60299	9762
Q9BZC7	20
A0A087WZ40	9053
Q92766	6239
F6XY72	4831
O14983	487
Q969H0	55294
B3KT64	66000
Q9HAB8	79717
P09544	7472
Q15648	5469
P49642	5557
Q6ZNA5	391059
P29279	1490
Q9UHB9	6730
Q56NI9	157570
B3KW70	8076
Q9H5I1	79723
Q8WUA8	25987
Q9H0K1	23235
P40189	3572
Q01850	1039
Q13206	1662
P15309	55
P78424	11281
Q9UJ72	11199
O14920	3551
Q16864	9296
O75886	10254
P56556	4700
Q05952	7142
A0A0A0MRF5	22933
Q9H361	5042
Q8N3Z3	29083
Q4LDE5	79987
P09429	3146
O43924	5147
Q96B97	30011
Q9UKQ2	10863
Q6ZN44	90249
B4DDD8	3035
Q9HCK4	6092
Q9BWG6	100534012
Q9BWG6	79005
Q16543	11140
P27540	405
A0A0A0MS29	56947
