From	To
B7ZM79	5101
P63172	6993
Q9Y5I1	56138
Q6XPR3	126638
Q969F9	84343
P62847	6229
Q9P241	57205
Q6ISU1	171558
P50991	10575
Q92843	599
Q01995	6876
A0A087WZQ2	79175
Q96QH2	84106
Q9UHX1	22827
Q99590	9169
Q9UI12	51606
Q9Y225	11237
P21399	48
Q9NSD5	6540
Q9BX70	55643
Q9Y6A4	29105
Q9UM22	54749
Q9NUD9	55650
Q7L5Y6	55070
Q24JP5	54972
Q7Z449	113612
A6NI61	389827
P05388	6175
Q8N6I1	163126
P07148	2168
Q9NRQ5	56935
P35269	2962
Q9UNA0	11096
Q9BQI9	83714
O95373	10527
O43324	9521
Q8WWI5	23446
Q86WV6	340061
Q5VWP2	54855
Q9NVC6	9440
Q96MF2	246329
Q93086	5026
Q13308	5754
Q7Z442	114780
B4DI26	1353
Q9NY61	26574
Q68G75	93273
O95848	256281
Q8IW93	128272
O60716	1500
Q9BSH3	84276
Q8NGR9	138882
Q13319	8941
Q9Y5C1	27329
A0A024R216	50810
P00740	2158
P54753	2049
O75083	9948
Q3SY69	160428
Q9HCL2	57678
P09488	2944
Q8IVL8	130749
P14625	7184
B4DEM9	26073
Q9P0B6	154467
Q96IU2	84327
Q9Y2U5	10746
A0A0A0MTC9	6440
Q9Y243	10000
Q92608	1794
Q6ZSI9	147968
Q9NP90	51209
Q9BXJ9	80155
O75976	1362
F8VU39	11176
Q5VV17	220213
O75529	27097
O00566	10199
P09913	3433
Q6ZUX7	10184
Q6IS24	64409
Q6PK04	339230
Q5SQ64	259215
Q8NGP9	219493
Q9Y6C5	8643
O94769	1842
Q96JK2	8816
Q6SZW1	23098
Q8N9T8	65095
A0A0C4DG07	4683
O76083	5152
F2Z333	643988
P23378	2731
Q8WXA3	55680
Q9UGC6	26575
Q14CW9	56970
A0A0A0MRV2	84650
Q9NRG4	56950
J3KNX4	84939
Q6P1K1	55652
Q96NU1	148398
Q9NR48	55870
P56539	859
Q4KMQ2	196527
Q49AG3	58486
O95150	9966
Q5TC79	84614
Q7Z5L9	359948
Q9H0E2	54472
P51787	3784
Q9BUW7	79095
P33947	11014
Q9ULS6	3788
Q9Y597	51133
Q5H9M0	139221
B7ZLR4	540
P80723	10409
P35503	54659
A9YTQ3	57491
Q9HBM0	55591
P11509	1548
P07384	823
Q9BTX7	79183
Q8NH70	81327
O43781	8444
Q9Y696	25932
Q96N87	348932
P50502	6767
D6W5L6	6439
E7EPN6	5316
Q9H553	85365
Q9P2K1	57545
Q96D53	79934
P55064	362
Q9NY47	9254
P16083	4835
A0A0A0MSV9	6892
Q969R5	83746
B0I1T2	64005
F5H4R6	4673
P13236	388372
P13236	6351
Q5VT66	64757
Q1MSJ5	79848
A0A087X296	5742
P00749	5328
F8VVS7	842
Q53H82	51110
A0A0C4DG40	23345
Q9GZN4	64063
B4DZG7	400
P18848	468
Q6ZUT1	55216
Q8N5X7	317649
Q8N0W7	158521
Q02818	4924
Q9NU23	57226
O15145	10094
P98155	7436
Q16559	6887
P48065	6539
Q6NT04	91151
P19634	6548
Q96CN4	115704
Q8N1Q8	284486
Q9BZW8	51744
Q6TCH4	79957
P17275	3726
P01222	7252
P04180	3931
Q6UW49	246777
O95139	4712
Q9H7Z7	80142
Q86UW2	123264
Q96GS6	81926
B2RXF0	730130
Q13131	5562
P68431	8350
P68431	8351
P68431	8352
P68431	8353
P68431	8354
P68431	8355
P68431	8356
P68431	8357
P68431	8358
P68431	8968
A0A087X0S1	160365
Q07687	1746
Q9UF02	27091
A6NHR9	23347
Q8WV16	26094
Q96T21	79048
P13349	4617
Q9Y5J5	23612
Q96CP6	57655
O43818	9136
Q96CW6	84138
P02766	7276
P47872	6344
O95999	8915
Q6MZT1	401190
Q5NUL3	338557
I3VM54	22992
P80404	18
Q969E1	116842
Q70EL4	124739
Q9H209	283297
Q86Y38	64131
O00295	7288
Q9UIM3	63943
F6M2K2	23054
Q96DL1	120406
O75570	9617
O95478	10412
O94906	24148
Q9UJ70	55577
Q5TA89	388585
Q9UKT7	26224
Q96LR4	151647
Q9UPW8	23025
P51809	6845
Q14764	9961
Q9UJM8	54363
Q2TAY7	55234
Q9H0V9	81562
Q96P66	83550
P00736	715
Q02641	782
O15213	9277
Q8IWV7	197131
Q96RS0	96764
Q9H5U6	29063
O75683	6838
Q01196	861
Q13118	7071
Q9NUL7	55794
O94886	9725
F5H0M7	64779
P56705	54361
O75807	23645
Q96KR6	116151
Q9BSE5	79814
Q6UWE3	389383
Q5H9L4	54457
Q96PV6	114823
P26717	3822
P23327	3270
Q8WZ19	253980
Q15149	5339
A0A087WT87	6507
P22310	54657
Q9UN36	57447
Q9H2W6	26589
O00622	3491
P51793	1183
Q58A45	255967
Q07666	10657
Q9HCE1	4343
Q9C0G6	1768
A6NDG6	283871
Q9NWW5	54982
H3BQI1	83657
K7EMK7	7089
P84022	4088
P46527	1027
Q6ZMJ4	146433
A0A087X1U5	26750
Q86XL3	23141
Q8TDX7	140609
Q9UBU7	10926
Q8N0Z6	91875
Q96FJ0	57559
Q9H7T9	79000
O95202	3954
Q5R3I4	55020
Q9NUV7	55304
A6NGA6	27035
P18887	7515
P07498	1448
Q93050	535
Q5VV63	26033
P36952	5268
Q9NVS2	55168
P05109	6279
P62424	6130
Q9NZ63	51759
Q5VZ19	126668
Q96NL1	157753
P80365	3291
Q2M3R5	159371
Q9NYG8	50801
Q9H0F7	84100
P18510	3557
Q8WTV0	949
Q08170	6429
Q6UX71	84898
Q9NY56	29991
O15254	8310
E9PF16	80221
P80303	4925
F5H4Z8	7059
Q86XD5	9715
P24723	5583
Q9GZS9	23563
B4E0T2	5830
Q9NSA2	3750
P28221	3352
Q6ZW33	84953
A6XMV9	5645
P43007	6509
A8MZ84	3903
Q96CT7	115098
P0DML3	1442
P0DML3	1443
Q8N0S6	91687
Q3SXP7	85352
Q9Y6D9	8379
Q71U36	7846
E7ES00	8313
Q86TU7	84193
Q6UXH0	55908
Q5R372	9910
D3DTX6	84687
Q9HAB3	79581
Q8NCA9	147808
P09105	3049
Q9Y3C1	51491
Q8TE58	170689
Q9UHP9	23676
P20393	9572
A0A0A0MTQ4	56963
Q969P5	114907
P51805	55558
Q9UL01	29940
Q14CB8	84986
Q5VZE5	60560
Q13535	545
Q9NZC9	50485
Q8NET5	150372
Q92930	51762
F8VPD4	790
Q14693	23175
P24752	38
B7Z306	7324
P0CG40	100131390
Q9Y5U5	8784
P43489	7293
O43598	10591
Q9UL12	1757
Q9BZM5	80328
B7Z503	84280
P30307	995
Q8N370	124935
Q9UBY8	2055
A6NJG6	503582
F5H4M7	23423
P37288	552
Q8TBZ2	84073
P49662	837
P53350	5347
P60014	353333
Q9UQ80	5036
A0A087WXB8	10402
O43497	8913
A1A4S6	79658
M0QX28	55334
Q8N5K1	493856
D6RI00	896
O95236	80833
Q2M3G4	134549
Q8N6M8	132141
Q99750	4188
Q14692	9790
Q9BW11	83463
O60682	9242
Q9Y543	54626
P25789	5685
F5GX24	55632
P54821	5396
Q93034	8065
O14684	9536
Q7Z5S9	55314
Q96NT5	113235
Q0VDG4	79634
Q8WWQ0	55023
Q9C0G0	55628
P47897	5859
P32241	7433
Q8NDF8	64282
P83731	6152
Q9BX79	64220
P13797	5358
Q9UK23	51172
O00757	8789
Q13526	5300
P09919	1440
Q8IVP9	284306
A0A0B4J202	10874
D6RFM5	6389
P51582	5030
Q53TQ3	54891
Q9BPW8	8508
A0A087WYT5	5867
P17032	7587
O94993	11063
Q5JXA9	284759
O95361	10626
Q9Y5K8	51382
Q92904	1618
Q5SRH9	22996
Q96E39	494115
Q9NQW5	11105
Q9BSH5	81932
Q8IYS1	135293
Q5HYA8	91147
Q15822	1135
Q13641	7162
P46108	1398
O95822	23417
P56524	9759
P01100	2353
P43146	1630
Q9UNE7	10273
Q9H0R8	23710
P15559	1728
P35754	2745
Q9BW72	192286
Q9NR00	56892
Q5KSL6	139189
Q6ZS17	79567
J3KMZ8	5977
Q14554	10954
Q6UB28	254042
Q6UXT8	389658
Q9NPF0	51293
Q5M8T2	340146
Q9UJH8	79006
Q8N393	136051
P61353	6155
P51649	7915
Q8TAB3	57526
A0A096LP69	4267
O14994	8224
Q9UQ90	6687
Q9NPC8	10736
Q8N138	94103
P04053	1791
Q01726	4157
Q71H61	387597
J3KPJ0	124975
Q15256	5801
B4DND0	7378
Q16534	3131
Q8TC05	56890
Q9UJT9	23194
P19237	7135
P31271	3209
Q53FT3	51501
O95006	135948
Q8WYK2	122953
P11831	6722
Q96MR9	147741
Q9NRM0	56606
Q9NQX4	55930
Q96FX8	64065
Q8N8S7	55740
Q6NT89	388610
F5GWI9	51019
Q8N1F7	9688
Q9HAW8	54575
O43490	8842
Q15800	6307
Q99616	6357
Q9Y2A7	10787
Q4VX76	94120
Q96AP7	90952
Q9Y679	550
O95793	6780
Q9NUT2	11194
Q16881	7296
O75143	9776
Q96H20	11267
F5H0L2	23418
Q8NFV5	285955
Q86XX4	80144
Q96A37	115992
Q9GZP0	80310
P04818	7298
Q9H3D4	8626
Q58DX5	254827
O15117	2533
Q14376	2582
Q99217	265
Q9BZM4	79465
Q14162	8578
Q5T7N3	163782
Q9UPQ7	23024
P42858	3064
Q8NFF5	80308
F5GXF0	3164
Q9Y6Y1	23261
Q9H8M2	65980
G3V207	57458
O60381	26959
Q4LE39	51742
P35869	196
Q16654	5166
O95704	10307
Q9NY87	64663
Q9NZM4	29998
Q9C026	114088
Q07973	1591
Q6P4I2	84942
Q96I24	8939
P40199	4680
Q15842	3764
Q7Z553	161357
Q13643	2275
O60610	1729
Q9H2X9	57468
Q14152	8661
Q9UHM6	94233
Q6VY07	55690
A0A5E8	10634
Q0P6D2	125704
C9JKA9	56992
O14950	103910
O14950	10627
Q9Y2K6	10868
Q9H4I8	253190
O95456	8624
Q7Z3E5	80210
Q13873	659
Q86UY8	51559
P13674	5033
Q9UKN1	10071
Q8TD46	131450
Q9HAU0	54477
Q8TDY2	9821
Q8IY63	154810
Q96KV7	197335
Q8IWP9	25901
P14222	5551
Q9P2B2	5738
Q01518	10487
Q96IV0	55768
G3V1Q4	989
Q5TGY3	27245
P16104	3014
P35240	4771
A0A0A0MSH9	9557
Q8N7R7	151195
Q5JT82	128209
Q96PG2	341116
P21281	526
D6R9V8	55573
Q86X29	51599
Q96E11	92399
Q86VI4	55353
P19827	3697
Q9C0B9	54877
Q9Y2I6	22981
Q8NFT2	261729
O95267	10125
Q9ULZ9	4326
P05112	3565
Q9NVP4	55184
Q05397	5747
Q9NZV7	23619
O95155	10277
A0A0D9SF94	84787
Q8N7M0	200132
P09874	142
E9PMR6	23365
Q969L4	84967
Q13207	6909
P14550	10327
O75153	23277
Q9H2I8	83938
H0YKE7	11261
P01133	1950
Q969Y2	84705
P48169	2557
A0A0C4DH22	2036
P50570	1785
Q9UIX4	3755
Q96L21	140801
Q9Y520	23215
Q9BQ67	83743
O00469	5352
Q86WR0	55246
Q15102	5050
P54725	5886
Q8IY81	117246
Q8NG31	57082
P19474	6737
P31391	6754
Q13574	8525
Q96P70	55705
Q7L2R6	91661
Q9NZV1	51232
Q9H6B9	79852
Q9UBG0	9902
Q08357	6575
Q9BTC0	11083
Q7L2Z9	55166
Q07869	5465
P51449	6097
P30613	5313
P61769	567
Q8N159	162417
P99999	54205
Q5VY80	154064
Q9BXW6	114876
A0A024QZX5	5269
Q14574	1825
Q8N2Z9	100526739
Q8N2Z9	378708
P52742	7694
Q9BUL9	54913
Q9Y2X9	23528
Q06710	7849
A0A075B7B5	23380
Q12934	631
Q02224	1062
P09001	11222
Q15915	7545
Q9BRL7	9117
Q8N6M6	84909
Q8WXF8	162989
Q9NYZ2	51312
Q9H611	80119
O15121	8560
A0A087X0L2	4582
Q8WWK9	26586
P00450	1356
Q14CZ0	29035
P08908	3350
Q6P1S2	285315
P05106	3690
P01033	7076
P61088	7334
Q96PZ2	63901
Q5TF58	126917
Q96GD3	22955
Q15434	5939
P34810	968
Q8N4E7	94033
Q6V1X1	54878
A6NK06	730249
O15091	9692
Q12815	10024
Q96IT1	84838
Q9GZY4	55744
O75712	2707
Q6PJG2	91748
Q9NQ55	56342
Q9NQ55	692312
Q9Y6G5	51397
P61587	390
Q86UV5	84196
O75355	956
P07992	2067
Q16774	2987
Q9BZE9	79058
Q13356	23759
F5H7W1	80067
F8W816	1549
A0A087WYR5	7549
Q7RTN6	92335
P14868	1615
M0QZI7	90338
K7EK53	27335
Q9UN30	6322
J3KNJ3	10003
Q13748	113457
Q13748	7278
Q96CU9	55572
Q5T5X7	57673
Q96GY0	51101
Q96AB3	79763
P18206	7414
P07360	733
P25490	7528
Q15561	7004
Q96EX2	84900
Q15543	6884
P15880	6187
Q9Y6H1	51142
A0A0D9SEJ5	84498
Q6UXV1	126123
Q6NUQ4	54867
Q92804	8148
Q15077	5031
Q03924	109504726
Q03924	51351
Q99459	988
Q9H4D0	64084
Q96S21	57799
Q53GD3	80736
P02750	116844
Q9BX51	92086
O76100	390892
P48357	3953
A8MRA7	64756
A0A087WXV5	5075
Q13568	3663
Q9BWU1	23097
P25098	156
O14879	3437
Q13519	5368
O75600	23464
Q9BYM8	10616
Q9Y4W2	81887
P10243	4603
E9PJD7	50626
Q96HT8	114932
Q3MUY2	84992
K7EKI0	2125
Q6P9A2	374378
P20933	175
Q96BZ9	128637
Q9NR23	9573
A0A0C3SFZ7	2122
Q8IVM8	114571
Q9H7X7	64792
A0A087X2C3	57826
Q9P2J2	57549
Q96FL8	55244
Q53GA4	7262
Q9Y2X7	28964
Q92974	9181
P43365	4111
Q9H7F0	79572
P17025	7569
P61457	5092
Q96RA2	162998
P23435	869
Q9Y680	51661
Q6PD74	79719
A0A024RB15	6171
Q9NZU0	23767
Q13554	816
A0A024R4N9	79042
Q8WWL2	84501
Q5BIX2	147339
Q8WZ59	147744
Q16517	4826
Q9Y6I9	51368
Q15034	8916
Q9BW83	11020
P48681	10763
O75410	6867
Q8N264	83478
Q99729	3182
Q9Y5V0	51123
Q05655	5580
Q8TAK6	116448
Q6ZUT9	160518
P30101	2923
P13929	2027
P60201	5354
O60701	7358
A7E2U8	441054
Q9BYG5	84612
Q6Q0C1	283600
Q01831	7508
Q86YP4	54815
P16278	2720
Q5HYR2	63947
Q5HYR2	728656
O95500	23562
P14317	3059
Q8NBT0	25886
Q9HCK0	57684
Q9NX47	54708
A0A0A0MS51	2934
Q9BYK8	85441
P37198	23636
Q66K66	130612
A0A0A0MSX3	780
Q96C11	55277
P98095	2199
Q14181	23649
P26374	1122
Q9H9L3	81875
Q9P2C4	57583
G3V150	26229
O15360	2175
Q9BYV9	60468
P18433	5786
O95832	9076
Q9H116	64412
Q8WUA2	85313
Q969Q1	84676
O75031	11077
P50876	9781
Q6ZW31	85360
O75151	5253
Q9Y5G7	56109
P84243	3020
P84243	3021
Q9UNU6	1582
Q9UBM4	26254
Q86SG2	200539
Q96T66	349565
Q59EK9	10900
Q685J3	140453
Q9BX26	10388
Q86WK6	57463
Q9NXL9	254394
P37059	3294
O76082	6584
Q8NBP7	255738
O95876	51057
P11137	4133
P50749	9770
P29317	1969
B4DFP7	130916
O14556	26330
Q9BWV3	81602
P14384	1368
Q15696	8233
Q8NBT3	284339
Q9H1U4	1955
Q9BTW9	6904
Q9HA77	79587
P35716	6664
O00488	51042
O75487	2239
O14523	9854
A0A087X1S6	84725
P35080	5217
Q14108	950
O00267	6829
Q9Y337	25818
Q9NWD8	55069
Q8TDV5	139760
Q9GZV9	8074
Q8NHZ7	125997
Q9Y6M4	1456
Q5I0X4	441150
Q6NUN9	155061
Q92485	27293
Q8N257	128312
Q8ND04	55181
P51677	1232
A6NND4	341152
C9J4K0	79074
Q9C019	89870
Q969T4	10477
P49895	1733
P29144	7174
Q9BX97	83483
Q9NWW6	54981
Q12908	6555
J3KTE4	6143
Q8IXU6	54733
P57721	54039
O75746	8604
P01282	7432
Q9NQZ2	57050
Q14028	1258
P08172	1129
Q12967	5900
Q8TC12	51109
Q06203	5471
Q9NVA1	55245
E7EVW1	6007
Q5VZU3	10171
Q9P0N5	51259
Q9NRG1	56952
O75880	6341
Q9UM13	10393
Q9Y6J9	10629
O00339	4147
P43250	2870
Q9UKK6	29107
Q9GZT9	54583
Q8N8X9	126868
O75152	9877
Q8IU81	26145
Q15833	6813
A0A0A0MTC1	57674
A1YPR0	201501
O14531	10570
Q13283	10146
A0A0C4DFR4	57711
Q6PJ61	23403
B5MCN0	64225
P50747	3141
O14599	442867
O14599	442868
O14599	9083
O60344	110599564
O60344	110599583
O60344	9718
P51813	660
O14787	30000
Q3KNV8	10336
A0A0C4DG91	10201
P34130	4909
Q9UBV2	6400
B4DK25	11101
F8VQP2	6311
Q8TCA0	55222
P13861	5576
P63267	72
Q9UBX1	8722
Q5VUB5	221061
Q29RF7	23244
P48723	6782
Q00978	10379
Q9H081	79003
P48651	9791
Q9Y2P0	90485
Q53H47	6419
Q13596	6642
P46087	4839
E9PEJ1	10225
Q8WV24	22822
Q8IZ02	151827
P10398	369
Q16625	100506658
Q8NB78	221656
Q9Y2R5	51373
Q9HD42	5119
A0A0A0MSX5	3234
Q9Y5E9	56122
Q07065	10970
Q9NZI8	10642
O14545	10906
Q9NYP9	54069
Q9UJS0	10165
P00739	3250
Q13467	7855
Q7Z7J9	55450
Q7Z7F7	128308
Q15910	2146
Q96S15	84219
P04792	3315
O95229	11130
Q9H0T7	64284
Q2NKQ1	129049
P68106	2281
Q9UJU2	51176
Q7L3T8	25973
Q13322	2887
Q6IWH7	50636
J3KR25	57761
O96013	10298
Q96BD0	28231
O14874	10295
Q8N1G4	57470
P08842	412
Q9ULW6	4674
Q99581	54738
Q04760	2739
Q96FJ2	140735
Q9BV90	79622
O60765	6940
J3KNJ7	64863
O94888	26043
P0C7W6	374355
P16885	5336
Q96A26	26355
Q5T230	8433
Q8IYL3	339448
Q9BRJ7	84309
Q9UPU3	22986
P31930	7384
P23677	3706
Q96J65	94160
O75920	728492
O75920	8293
Q6UW32	374918
Q9NRU3	26507
O43716	283459
P54760	2050
Q15797	4086
A0A0A0MRG9	55755
O95389	8838
Q8WUM4	10015
O94903	11212
A0A0B4J1R2	79611
O60245	5099
J3KQN4	6173
Q9Y462	7552
Q9Y2Y0	23568
Q9BXL7	84433
I3L3E8	400569
Q02930	9586
Q9NPF4	55644
Q9BRX8	84293
Q7Z6K4	441478
Q16775	3029
O95157	11248
Q9Y241	25994
O43903	2620
P38606	523
Q9BZF9	55075
P25705	498
P0CJ76	100463487
P68104	1915
Q13547	3065
Q8IVL0	89795
Q6UW02	57404
O94979	22872
P57723	57060
Q8TC71	132671
Q5VST6	51104
Q6Q759	200162
O76009	3883
Q96CN9	79571
P28222	3351
Q6GPH6	150771
Q9Y5Q3	9935
Q53GI3	84124
Q9UBK2	10891
Q9NT62	64422
P43088	5737
Q9H6B4	79827
Q9HB21	59338
Q8TAV4	161003
Q9UBZ4	27301
Q8NBF6	23080
Q14032	570
P00326	126
Q9Y222	9988
P20851	725
Q9UNN8	10544
Q6ZNA4	54778
O60739	10289
P51797	1185
P40925	4190
D6R992	5971
Q7L590	55388
Q9HA72	51063
Q86VH5	347731
Q8NBT2	147841
P0C7U0	392617
Q86XK3	119392
Q6ZXV5	160418
A0A087WW40	51100
G5EA37	55062
P19838	4790
Q7L311	9823
Q13287	9111
B4DTQ9	284
Q9GZQ6	64106
F6W0P0	201514
O43741	5565
Q15831	6794
Q9HCQ7	64111
Q9BWM7	81855
Q01543	2313
Q8TBZ6	93587
P56962	55014
Q14500	3768
Q8IX12	55749
Q14134	23650
Q01844	2130
A0A0G2JQ02	5626
O15040	9895
Q96M20	140894
Q92611	9695
Q75WM6	341567
P13796	3936
P21964	1312
Q9NYU1	55757
Q12852	7786
Q8NBX0	51097
Q9H2V7	83985
E7EWK1	10587
Q8IYY4	199221
O95562	375035
P83916	10951
Q15399	7096
P22362	6346
B8ZZ84	80059
O43312	9788
P35408	5734
Q9NSK0	89953
Q99424	8309
Q9BU70	51531
Q8IWY8	146050
A2A2V4	7422
G3V1K2	10329
F5H1R4	23526
Q9BWX1	51533
Q8N695	160728
P48431	6657
Q92896	2734
Q8ND82	55609
Q86V88	145553
O95976	10261
Q15080	4689
Q96JE9	4135
Q8N103	117289
Q9NVM6	55192
Q9BVM2	25911
Q96PV0	8831
Q13087	64714
Q9P270	57606
P50222	4223
P09693	917
Q96KP1	55770
A6NMK7	642843
Q9NR16	283316
Q5VU13	391123
P35900	54474
O15105	4092
P25445	355
Q86YW5	340205
Q96B21	120224
Q6P9A3	256051
Q8WUA7	25771
P61970	10204
Q6GV28	338661
P46778	6144
P78347	2969
O00187	10747
Q99518	2327
Q9H2U1	170506
Q9NUU7	55308
Q9BPX7	79020
O75431	10651
Q16270	3490
Q9BU76	79169
Q13021	7851
A0A0A0MTN6	63915
G5E9W2	54480
P51843	190
Q96RK4	585
P48426	5305
Q8IZF5	165082
Q14738	5528
Q5T848	57512
P22692	3487
J3KNJ8	3338
Q16678	1545
Q8N183	91942
Q9HBM1	57405
O95047	79541
O95477	19
Q9Y5X3	27131
Q8TDQ7	132789
P11172	7372
Q71RC9	643008
Q86XT4	135892
Q96Q11	51095
I3L269	123811
Q5VTE6	90806
P00505	2806
Q6RW13	57085
P01034	1471
Q9GZU0	81688
P19532	7030
Q8WWP7	170575
P10600	7043
O95484	9080
Q9UHD1	26973
Q15569	7016
Q8N8C0	163115
Q9NYU2	56886
Q7KZI7	2011
P57735	57111
Q02978	8402
Q96HZ4	55502
Q5T4F4	118813
P83111	114294
Q9UBN6	8793
E7ETY2	6949
P15814	3543
Q5JTH9	23223
Q9UHG3	51449
A0AUZ9	151050
Q13303	8514
O75051	5362
Q9Y2F9	22903
E7EUK8	5218
P40259	974
O15229	8564
Q9Y3E0	51026
Q9Y3E7	100526767
Q9Y3E7	51652
P51523	7637
O75489	4722
Q5VWQ8	153090
P00540	4342
Q9H3K6	552900
Q9H3K6	654483
Q9NVV5	51390
Q8WUU5	57798
A0A0C4DGU8	79791
A0A0A0MRI2	58533
Q8NC44	79137
P55884	8662
Q9Y6E7	23409
P22303	43
Q92629	6444
P02100	3046
Q6WKZ4	80223
A0A0A0MTG5	3574
P40967	6490
P0DN76	102724594
P0DN76	7307
Q96FN4	221184
Q569H4	51334
Q9UK61	23272
Q8N5J2	55793
P35226	100532731
P35226	648
Q7L5D6	51608
P23284	5479
Q8N2N9	57730
Q969V4	83659
O60488	2182
Q15147	5332
Q16665	3091
Q9Y6N9	10083
O75469	8856
O95759	11138
O95201	7755
Q0IIM8	54885
P10997	3375
Q8IYT8	9706
Q8TE02	23587
Q8TEW0	56288
P57768	64089
Q8TAT5	55247
P01019	183
P49419	501
P11309	5292
Q9NV58	25897
P07711	1514
P41134	3397
Q68DC2	203286
P00918	760
O60884	10294
O60869	8721
Q86T24	10009
Q96L73	64324
P19438	7132
O76027	8416
Q6UWI4	387914
Q9NTI2	51761
Q9Y5G5	9708
Q9Y2I9	23329
P49116	7182
Q5VZI3	203197
Q9H222	64240
P32780	2965
Q8N6T3	55738
Q15011	9709
P17643	7306
O43895	7512
P35498	6323
Q9Y490	7094
Q13258	5729
Q96GM5	6602
Q9NVI1	55215
P84077	375
Q06124	5781
Q9UJJ7	113000
Q8IXV7	200942
Q12870	6939
P29084	2961
P29120	5122
Q96IF1	84962
Q8NCX0	284992
Q8NH79	390260
Q9GZX5	59348
Q9UKP4	11173
P47224	5877
P0DMM9	445329
P0DMM9	6818
O00567	10528
P62266	6228
P46783	6204
Q99797	4285
Q9Y5H5	9752
Q5T0T0	220972
F5H6I7	25923
P12034	2250
P62191	5700
P57082	9496
Q7LBR1	57132
E9PG18	6331
Q8N554	92822
Q8TCZ2	83692
Q9BYN7	84905
P04275	7450
Q6UXH1	79174
Q9NV66	55253
Q52LJ0	283742
P52655	2957
P10643	730
Q9Y2Y8	10394
H3BUF6	11273
Q969Z4	84957
Q86VV8	25914
Q9NR80	50649
Q9HD67	4651
Q9NP59	30061
Q7Z7A3	90353
Q8IZN3	79683
Q8NCB2	79012
P29372	4350
M0QYZ2	1175
Q04941	5355
Q9UMF0	7087
O95263	8622
O95399	10911
Q96PC3	130340
Q9GZR7	57062
Q969Q0	6166
P45983	5599
A0A087WW63	773
Q9Y4Z0	25804
Q9UBV7	11285
O14713	9270
P53675	8218
O95072	9985
P25101	1909
Q5SY80	257044
Q2HXU8	387837
Q9Y5E8	56121
P62195	5705
Q9P255	57615
Q9H4L5	26031
Q9H799	65250
A6NKB5	80003
Q16533	6617
Q9P212	51196
Q15743	8111
Q8N4P3	374659
Q99062	1441
Q05215	1961
Q13033	29966
O75915	10550
Q86UR5	22999
Q9HCE5	57721
Q8N3K9	202333
Q8N4A0	100528030
Q8N4A0	8693
P26232	1496
Q9H1A4	64682
A2T115	267012
P53803	5440
P21108	221823
Q96B33	137075
Q49A26	84656
Q04727	7091
Q9H0B6	64837
Q7L3B6	55664
Q6PI47	130535
P16435	5447
Q9H6Y2	54853
Q5XKR4	23440
Q13084	10573
P35968	3791
Q8N6K7	154075
Q9NYQ3	51179
Q00722	5330
O95167	4696
Q9Y2L1	22894
A6NEM1	440295
F8VY47	2637
P29965	959
Q99487	5051
A0A0A0MSZ8	11006
O95178	4708
Q7RTS9	54808
Q9P2N6	55683
Q9H3H5	1798
P17693	3135
Q13410	696
Q7Z699	161742
E9PFX0	26762
Q96AY2	146956
O75154	9727
P15976	2623
Q8NFF2	123041
P63316	7134
Q8N3E9	113026
Q5T754	353137
P46736	79184
Q02338	622
P46020	5255
O75832	5716
Q96AQ2	128218
O95292	9217
Q13489	330
Q86X45	23639
Q7L4I2	65117
Q8N6W0	60680
P40939	3030
Q96T25	85416
Q15125	10682
Q92558	8936
Q76EJ3	11046
Q9UNW9	4858
Q14CZ8	220296
Q9Y219	3714
Q6P5Z2	29941
Q6T4R5	4810
Q13112	8208
O15119	6926
O95208	22905
Q5I7T1	144245
P50453	5272
O60890	4983
Q96MS3	144423
Q53EL6	27250
A6NH52	780776
P53355	1612
P33992	4174
A1L4H1	284297
Q8NFT8	92737
Q8WTU2	136853
H7BXH2	55291
Q9NQW7	7511
P09238	4319
O15164	8805
Q9H205	144125
P17568	4713
Q9BU19	55657
Q71UI9	94239
Q96H86	92595
Q86TW2	57143
Q9BZF1	114882
Q9Y4L5	27246
P10721	3815
P54274	7013
O75461	1876
O15198	4093
A0A0U1RQW6	22982
P12111	1293
Q96GN5	55536
Q8IXQ5	55975
Q7Z570	91752
B7Z4U2	364
P36222	1116
Q13427	9360
Q96GD4	9212
P07333	1436
Q9H444	128866
Q5BKX8	347273
Q96RM1	6705
E9PL69	6240
P13611	1462
Q8WUY8	57106
Q13144	8893
Q8N4N8	84643
Q8IWD4	150275
Q3ZCQ3	400451
Q9H2L5	83937
Q14435	2591
J3KMW5	65990
Q8TDR4	140290
Q8TCX1	51626
Q99808	2030
O00270	2853
P52788	6611
Q9P0N9	107080638
Q9P0N9	51256
Q9HC96	11132
Q9UBY9	27129
Q96L58	126792
P51693	333
Q86VW2	115557
P35626	157
Q9H089	55341
Q9BQ89	83541
P0CG37	55997
A0A087WY96	6533
F5H8D1	29906
Q99259	2571
P47900	5028
Q13469	4773
Q9HBV1	64208
Q9H756	64922
O43281	10278
Q96GM1	64748
Q9H582	84146
P11511	1588
B7Z7U4	4916
B7Z6U4	9750
O14495	8613
Q96AX1	65082
Q9Y6D6	10565
Q9NQG5	58490
Q12866	10461
Q92539	9663
Q13049	22954
Q9NP94	29986
Q9Y653	9289
Q8N9W5	352909
Q8IVU1	9543
P25815	6286
Q5JPH6	124454
Q5VZY2	196051
B4DIG0	994
Q8N3S3	57157
F5GYX3	8482
Q9BYV2	57159
G3V1Q5	162333
P78410	11118
